id	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowed	TotalCharged	TotalPayment
54011	1454432	665678	1016859	73988565	190920095	56579167
26075	1339115	374866	636083	51205226	119985955	39309330
72033	5390	2856	5075	303168	311222	235670
29025	11028	1993	3646	271216	489887	215516
21031	88250	21547	51148	2356164	3759185	1790050
72003	25003	6746	15352	701576	748683	548035
4001	181236	37642	59264	8242187	29649953	6347583
46091	8877	3430	5991	302648	332941	218732
36005	3702008	1412887	2603010	228704366	504715572	178493059
17091	691430	290036	536640	45101738	124157466	34317592
49053	874866	356586	550690	48634380	117236475	37085049
27147	83220	45125	74598	3328312	10244753	2467419
17101	35440	8349	15583	1478893	2876218	1135769
13311	43936	15835	24337	1672808	2998668	1260085
26135	25193	1867	5261	514203	652851	401726
48087	5082	848	1244	189074	401282	149490
48449	284459	74528	139301	10133631	25153010	7767359
48043	17947	8077	14475	622274	1025952	463013
51165	56537	26387	52812	2664324	5014631	1969855
37177	8515	262	491	173927	233480	139048
38011	1288	453	1284	53944	85447	39096
32003	12478090	4003540	6893197	573847108	1673677664	445034095
19163	1171240	483800	761560	65771309	170139932	50374242
55081	69012	20561	42460	2522826	6009614	1853059
17061	27174	5046	9518	840132	1160148	647366
12131	171205	73477	115423	8232485	15903952	6275694
30023	17393	7795	12446	674891	1163962	498012
31177	26027	7353	20868	1293953	2700065	1000342
48199	97656	28074	51380	2831099	7139190	2166411
55131	340203	137049	245974	13902614	44249394	10460842
26021	696581	357685	560326	46645806	102103325	35451290
20027	39421	17037	34710	1042782	2029812	824068
28083	387993	129057	246687	16035614	40784698	12292849
41031	21156	5111	11402	881781	1734253	674100
38039	5886	1014	1570	153594	296463	117657
5077	3836	3042	3783	244705	320930	164058
20053	15614	5208	8158	644556	1085341	493007
48185	22924	8993	21505	1661816	2635067	1249889
54037	53159	25717	43144	2978313	6004249	2201418
1113	83874	34203	72822	4179422	7816612	3112774
31107	29117	10623	20668	727030	1003156	544161
48267	9330	2951	4765	337335	767452	240316
13163	15691	7881	14877	730014	1339199	543574
47125	802893	258727	428155	31114397	78366090	23672074
42013	932633	355093	582427	44270690	98777124	34111450
41011	617596	218511	399208	23675982	56527242	18172751
16065	65354	27957	47939	2710381	5347343	2034483
26077	2070263	754889	1260955	102573348	290348482	79712883
55009	1095676	542094	791837	60302750	260027976	45986537
13283	12082	986	1892	342981	670797	268750
46009	9163	2332	3377	273690	353255	206549
39059	175546	67733	125165	8002259	16589776	6052440
35017	133032	69663	121614	5989696	12364966	4468593
16043	8343	2174	4979	209108	257689	159275
46097	10172	1341	6507	208176	258491	162818
17029	345199	164581	246483	15678395	36676299	11864306
6027	81546	17727	32046	3670802	10630108	2806842
28121	753270	286130	472559	34787847	97015632	26730200
48501	927	475	681	69526	196274	54939
24025	1345839	532685	931991	79408584	165066819	61021381
51680	1729687	629325	953217	70034898	137278426	53844774
47115	65393	31941	55840	3308071	7549503	2464728
13229	45476	23692	37478	1542234	3091216	1198954
29041	30862	4600	9112	708283	1292655	544252
